[ 2026-07-09 17:18:14,995 ] 17 network_security.logging.logger - INFO - Initiate the data ingestion
[ 2026-07-09 17:18:18,798 ] 69 network_security.logging.logger - INFO - Performed train test split on the dataframe
[ 2026-07-09 17:18:18,798 ] 71 network_security.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-09 17:18:18,812 ] 79 network_security.logging.logger - INFO - Exporting train and test file path.
[ 2026-07-09 17:18:18,851 ] 88 network_security.logging.logger - INFO - Exported train and test file path.
[ 2026-07-09 17:18:18,851 ] 19 network_security.logging.logger - INFO - Data Initiation Completed
[ 2026-07-09 17:18:18,855 ] 23 network_security.logging.logger - INFO - Initiate the data Validation
[ 2026-07-09 17:18:18,942 ] 32 network_security.logging.logger - INFO - Required number of columns:2
[ 2026-07-09 17:18:18,942 ] 33 network_security.logging.logger - INFO - Data frame has columns:31
[ 2026-07-09 17:18:18,942 ] 32 network_security.logging.logger - INFO - Required number of columns:2
[ 2026-07-09 17:18:18,942 ] 33 network_security.logging.logger - INFO - Data frame has columns:31
[ 2026-07-09 17:18:19,093 ] 25 network_security.logging.logger - INFO - data Validation Completed
[ 2026-07-09 17:18:19,093 ] 28 network_security.logging.logger - INFO - DATA TRANSFORMATION STARTED
[ 2026-07-09 17:18:19,093 ] 63 network_security.logging.logger - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-09 17:18:19,093 ] 65 network_security.logging.logger - INFO - Starting data transformation
[ 2026-07-09 17:18:19,127 ] 48 network_security.logging.logger - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-09 17:18:19,127 ] 53 network_security.logging.logger - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-09 17:18:19,147 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-09 17:18:19,159 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-09 17:18:19,159 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-09 17:18:19,159 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-09 17:18:19,159 ] 32 network_security.logging.logger - INFO - DATA TRANSFORMATION COMPLETED
[ 2026-07-09 17:18:19,159 ] 33 network_security.logging.logger - INFO - MODEL TRAINING STARTED
